時間,開盤價,最高價,最低價,收盤價,外資及陸資交易買口,外資及陸資交易賣口,外資及陸資交易淨口,投信交易買口,投信交易賣口,投信交易淨口,自營商交易買口,自營商交易賣口,自營商交易淨口,外資及陸資未平倉買口,外資及陸資未平倉賣口,外資及陸資未平倉淨口,投信未平倉買口,投信未平倉賣口,投信未平倉淨口,自營商未平倉買口,自營商未平倉賣口,自營商未平倉淨口,前十大法人買口,前十大法人賣口,前十大特定法人買口,前十大特定法人賣口,前五大法人買口,前五大法人賣口,前五大特定法人買口,前五大特定法人賣口
2010-01-04,8203,8211,8101,8167,7558口,7712口,-154口,622口,608口,14口,16646口,17029口,-383口,23128口,20483口,2645口,1627口,843口,784口,13197口,4562口,8635口,28076口,17001口,17332口,14601口,17825口,10913口,8528口,10913口
2010-01-05,8212,8260,8125,8178,6648口,6982口,-334口,757口,821口,-64口,24856口,23416口,1440口,24675口,22319口,2356口,1534口,814口,720口,13724口,3683口,10041口,30392口,17852口,19202口,16641口,18858口,11270口,9098口,11270口
2010-01-06,8197,8336,8179,8321,9592口,7982口,1610口,479口,353口,126口,29858口,28432口,1426口,27376口,23386口,3990口,1705口,859口,846口,16969口,5064口,11905口,33355口,18153口,21784口,15299口,21204口,11417口,9633口,9865口
2010-01-07,8335,8355,8230,8260,9757口,17049口,-7292口,391口,298口,93口,27442口,25504口,1938口,22582口,25908口,-3326口,1745口,806口,939口,17788口,4366口,13422口,32146口,20027口,17796口,18260口,21378口,12305口,8482口,12305口
2010-01-08,8287,8297,8183,8277,5954口,7364口,-1410口,495口,562口,-67口,23415口,23519口,-104口,22734口,27464口,-4730口,1753口,881口,872口,19001口,5638口,13363口,32779口,21796口,17778口,19849口,22100口,13084口,8472口,11137口
2010-01-11,8278,8353,8251,8322,7785口,5325口,2460口,677口,533口,144口,20271口,20357口,-86口,25838口,28121口,-2283口,1756口,740口,1016口,19552口,5833口,13719口,33862口,22808口,19986口,20766口,22674口,13655口,8798口,13655口
2010-01-12,8318,8337,8246,8309,6568口,7542口,-974口,360口,236口,124口,24123口,23687口,436口,25508口,28846口,-3338口,1804口,664口,1140口,20188口,6142口,14046口,34669口,23371口,20035口,21407口,23582口,13875口,8948口,13875口
2010-01-13,8259,8275,8191,8215,8394口,11025口,-2631口,295口,497口,-202口,26480口,27576口,-1096口,25111口,31208口,-6097口,1777口,839口,938口,19999口,8082口,11917口,35430口,25389口,18702口,21507口,24457口,14669口,12182口,14669口
2010-01-14,8246,8328,8236,8299,8366口,8409口,-43口,538口,363口,175口,21484口,18750口,2734口,27015口,33146口,-6131口,1815口,705口,1110口,22739口,7975口,14764口,38127口,26945口,20157口,22922口,26511口,16122口,10602口,16122口
2010-01-15,8310,8385,8307,8367,9754口,10318口,-564口,419口,714口,-295口,24989口,22604口,2385口,26835口,33520口,-6685口,1467口,662口,805口,25363口,8240口,17123口,40081口,27415口,20262口,21524口,28425口,16933口,10766口,16933口
2010-01-18,8300,8383,8286,8351,15729口,18812口,-3083口,708口,655口,53口,18059口,18653口,-594口,26268口,36043口,-9775口,1519口,661口,858口,25308口,8749口,16559口,40340口,28225口,19662口,26233口,29497口,17554口,10788口,17554口
2010-01-19,8370,8382,8230,8269,22267口,24301口,-2034口,1068口,1284口,-216口,37250口,39428口,-2178口,25616口,37465口,-11849口,1412口,769口,643口,22880口,8825口,14055口,41605口,29074口,21338口,26623口,29843口,17208口,11490口,17208口
2010-01-20,8306,8312,8198,8214,11203口,13616口,-2413口,1038口,1413口,-375口,29054口,31267口,-2213口,18160口,24081口,-5921口,1305口,992口,313口,10026口,6054口,3972口,23670口,20647口,14272口,17218口,16067口,13426口,10760口,11236口
2010-01-21,8185,8213,8112,8134,7441口,14770口,-7329口,727口,888口,-161口,22932口,23310口,-378口,16087口,29321口,-13234口,1450口,1322口,128口,9610口,6548口,3062口,20967口,24937口,11812口,22758口,14300口,15776口,9258口,15776口
2010-01-22,8019,8023,7884,7897,11050口,16161口,-5111口,1182口,1037口,145口,26230口,26171口,59口,17883口,36295口,-18412口,1483口,1234口,249口,9441口,7415口,2026口,22307口,30215口,12880口,26632口,14606口,20000口,8109口,20000口
2010-01-25,7822,7912,7802,7852,6641口,9192口,-2551口,768口,606口,162口,19895口,17200口,2695口,18592口,39532口,-20940口,1537口,1126口,411口,10485口,5958口,4527口,22872口,32252口,12790口,30371口,15154口,21039口,8127口,21039口
2010-01-26,7832,7886,7520,7558,20692口,15004口,5688口,956口,1940口,-984口,43740口,45323口,-1583口,19874口,35288口,-15414口,1426口,1999口,-573口,8738口,5670口,3068口,21540口,28026口,13431口,25024口,14022口,18400口,10356口,18400口
